Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Bird,Seaduck,Anatidae,Branta bernicla,Brant,NA,NA,LC,NA,G5,S4,NA,N,N,N,N,NA,CC,Habitat shifting & alteration,Unknown,NA,NA,3,1
Bird,Shorebird,Scolopacidae,Calidris alba,Sanderling,NA,NA,LC,H,G5,S5,NA,Y,Y,N,N,NA,CC,Habitat shifting & alteration,Unknown,NA,NA,4,1
Bird,Shorebird,Scolopacidae,Calidris fuscicollis,White-rumped sandpiper,NA,NA,LC,NA,G5,S3,NA,N,,N,N,NA,CC,Habitat shifting & alteration,Decreasing,NA,NA,3,1
Bird,Shorebird,Scolopacidae,Calidris maritima,Purple sandpiper,NA,NA,LC,VH,G5,S4,36,Y,,N,N,NA,CC,Habitat shifting & alteration,Decreasing,NA,NA,5,1
Bird,Shorebird,Scolopacidae,Calidris minutilla,Least sandpiper,NA,NA,LC,NA,G5,S5,NA,N,,N,N,NA,CC,Habitat shifting & alteration,Decreasing,NA,NA,3,1
Bird,Shorebird,Charadriidae,Charadrius hiaticula,Common ringed plover,NA,NA,LC,NA,G5,NA,NA,N,N,N,N,NA,CC,Habitat shifting & alteration,Decreasing,NA,NA,2,1
Bird,Shorebird,Charadriidae,Charadrius semipalmatus,Semipalmated plover,NA,NA,LC,NA,G5,S4,NA,N,N,N,N,NA,CC,Habitat shifting & alteration,Stable,NA,NA,3,1
Bird,Gull,Laridae,Chroicocephalus philadelphia,Bonaparte's gull,NA,NA,LC,NA,G5,S4,NA,N,N,N,N,NA,CC,Habitat shifting & alteration,Increasing,NA,NA,3,1
Bird,Shorebird,Scolopacidae,Numenius phaeopus,Eurasian whimbrel,NA,NA,LC,VH,G5,S3,20,Y,,Y,N,NA,CC,Habitat shifting & alteration,Decreasing,Highest priority Shorebird Plan,NA,5,1
Bird,Shorebird,Scolopacidae,Phalaropus lobatus,Red-necked phalarope,NA,NA,LC,NA,G4,S4,NA,Y,,N,N,NA,CC,Habitat shifting & alteration and temperature extremes,Decreasing,NA,NA,3,1
Bird,Shorebird,Threskiornithidae,Plegadis falcinellus,Glossy ibis,NA,NA,LC,NA,G5,S2,NA,Y,N,N,N,NA,CC,Habitat shifting & alteration,Decreasing,Highest priority Waterbird Plan,NA,3,1
Bird,Shorebird,Scolopacidae,Tringa flavipes,Lesser yellowlegs,NA,NA,LC,NA,G5,S4,NA,N,,N,N,NA,CC,Habitat shifting & alteration,Decreasing,NA,NA,3,1
Bird,Shorebird,Scolopacidae,Calidris canutus,Red knot,T,T,NT,VH,G4,S2,NA,Y,,N,N,NA,DEV;AG;BIO;DIS;INV;POL;CC,"Housing & urban areas, commercial & industrial areas, tourism & recreation areas, annual & perennial non-timber crops, marine & freshwater aquaculture, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, recreational activities, invasive non-native/alien species/diseases, viral/prion-induced diseases, industrial & military effluents, and habitat shifting & alteration",Decreasing,Highest priority Shorebird Plan,NA,6,1
Bird,Shorebird,Podicipedidae,Podiceps auritus,Horned grebe,NA,NA,VU,NA,G5,S5,NA,N,N,N,N,NA,DEV;AG;BIO;DIS;NAT;INV;POL;CC,"Housing & urban areas, annual & perennial non-timber crops, wood & pulp plantations, fishing & harvesting aquatic resources, recreational activities, work & other activities, dams & water management/use, invasive non-native/alien species/diseases, problematic native species/diseases, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration",Decreasing,NA,NA,3,1
Bird,Seaduck,Anatidae,Bucephala islandica,Barrow's goldeneye,NA,NA,LC,NA,G5,S2,NA,N,N,N,N,NA,DEV;AG;BIO;NAT;INV;POL;CC,"Tourism & recreation areas, wood & pulp plantations, hunting & trapping terrestrial animals, fire & fire suppression, invasive non-native/alien species/diseases, problematic native species/diseases, industrial & military effluents, and habitat shifting & alteration",Stable,NA,NA,3,1
Bird,Shorebird,Charadriidae,Pluvialis squatarola,Black-bellied plover,NA,NA,LC,NA,G5,S4,NA,N,N,N,N,NA,DEV;AG;DIS;CC,"Housing & urban areas, commercial & industrial areas, marine & freshwater aquaculture, recreational activities, and habitat shifting & alteration",Decreasing,NA,NA,3,1
