"Taxon","Subtaxon","Family","Scientific.Name","Common.Name","ESA","MESA","IUCN","RSGCN","G.Rank","S.Rank","USFWS","SGCN","BHHA","Priority.at.risk.Species","Thresholds","CCVA","Threats_CC","Threats","Description.of.Threats","Pop..Trend","Other","CCVA.Source","Total...of.Conservation.Sources","Total...of.Climate.Sources","Conservation.Rank","Climate.Rank"
"Bird","Seaduck","Anatidae","Aythya marila","Greater scaup",NA,NA,1,NA,1,1,NA,"N","N","N",NA,NA,2,"EN;BIO;POL;CC","Oil & gas drilling, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, industrial & military effluents, and habitat shifting & alteration","Decreasing",NA,NA,3,1,1,2
"Bird","Shorebird","Scolopacidae","Calidris pusilla","Semipalmated sandpiper",NA,NA,2,4,1,1,NA,"Y","","N",NA,NA,2,"EN;BIO;POL;CC","Oil & gas drilling, mining & quarrying, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, agricultural & forestry effluents, habitat shifting & alteration, and storms & flooding","Decreasing",NA,NA,4,1,2,2
"Bird","Seaduck","Anatidae","Melanitta perspicillata","Surf scoter",NA,NA,1,NA,1,1,NA,"N","N","N",NA,NA,2,"EN;BIO;POL;CC","Oil & gas drilling, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, industrial & military effluents, and habitat shifting & alteration","Decreasing",NA,NA,3,1,1,2
"Bird","Seaduck","Anatidae","Somateria spectabilis","King eider",NA,NA,1,NA,1,5,NA,"N","N","N",NA,NA,2,"EN;BIO;POL;CC","Oil & gas drilling, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, industrial & military effluents, garbage & solid waste and habitat shifting & alteration","Decreasing",NA,NA,3,1,2.33333333333333,2
"Bird","Shorebird","Hirundinidae","Riparia riparia","Sand martin",NA,NA,1,NA,1,1,NA,"Y","N","N",NA,NA,2,"EN;NAT;POL;CC","Mining & quarrying, dams & water management/use, agricultural & forestry effluents, and droughts","Decreasing",NA,NA,3,1,1,2
"Mammal","Dolphin","Delphinidae","Orcinus orca","Killer Whale",5,NA,1,5,2,5,NA,"N","N",NA,NA,NA,2,"EN;TRA;BIO;DIS;INV;POL;CC","Oil & gas drilling, shipping lanes, fishing & harvesting aquatic resources, recreational activities, problematic native species/diseases, industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration.","Unknown",NA,NA,5,1,3.6,2
"Bird","Shorebird","Gaviidae","Gavia stellata","Red-throated loon",NA,NA,1,NA,1,2,NA,"Y","N","N",NA,NA,2,"EN;TRA;BIO;POL;CC","Renewable energy, shipping lanes, fishing & harvesting aquatic resources, industrial & military effluents, and habitat shifting & alteration","Decreasing","Highest priority Waterbird Plan",NA,3,1,1.33333333333333,2
"Bird","Seabird","Hydrobatidae","Oceanites oceanicus","Wilson's storm-petrel",NA,NA,1,NA,1,1,NA,"N","N","N",NA,NA,NA,"INV","Invasive non-native/alien species/diseases","Stable",NA,NA,3,1,1,NA
"Invertebrate","","Viviparidae","Campeloma decisum","Pointed campeloma",NA,NA,1,NA,1,NA,NA,"N","N",NA,NA,NA,NA,"INV","Problematic native species/diseases","Stable",NA,NA,2,1,1,NA
"Bird","Shorebird","Scolopacidae","Arenaria interpres","Ruddy turnstone",NA,NA,1,5,1,2,2,"Y","","Y",NA,NA,2,"INV;CC","Invasive non-native/alien species/diseases, viral/prion-induced diseases, and habitat shifting & alteration","Decreasing",NA,NA,5,1,2.2,2
"Algae","","Ulotrichaceae","Acrosiphonia arcta","Green tarantula weed",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Ulotrichaceae","Acrosiphonia spinescens","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Solieriaceae","Agardhiella subulata","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Agaraceae","Agarum clathratum","Kelp",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Ahnfeltiaceae","Ahnfeltia plicata","Landlady's wig",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Alariaceae","Alaria esculenta","Dabberlocks, winged kelp",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Fucaceae","Ascophyllum nodosum","Rockweed/Knotted kelp",NA,NA,NA,NA,NA,NA,NA,"N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Bangiaceae","Bangia atropurpurea","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Sphacelariaceae","Battersia arctica","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Berkeleyaceae","Berkeleya rutilans","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Monostromataceae","Blidingia minima",NA,NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Kallymeniaceae","Callocolax neglectus","",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Ceramiaceae","Ceramium cimbricum","Banded Weed (red alga)",NA,NA,NA,NA,NA,NA,NA,"N","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Ceramiaceae","Ceramium virgatum","Banded Weed (red alga)",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Cladophoraceae","Chaetomorpha brachygona","Green algae",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Cladophoraceae","Chaetomorpha ligustica","Green algae",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Algae","","Cladophoraceae","Chaetomorpha linum","Green algae",NA,NA,NA,NA,NA,NA,NA,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
